name,lon,lat,pop
2146+PLAINS+ROAD,-84.43,42.51,292406
11780+WACOUSTA+ROAD,-84.7,42.85,79595
3321+GOODWIN+ROAD,-85.01,42.91,64697
8575+PECK+LAKE+ROAD,-85.24,42.9,64697
1300+ROYSTON+ROAD,-84.72,42.59,110268
ST.+JOHNS+CELL+SITE+2471+N.+SCOTT+ROAD,-84.54,43.02,79595
APPROX.+250+FT.+EAST+OF+WOOD+ROAD+AND+600+FT.+NORTH+OF+CLARK+ROAD,-84.52,42.81,79595
APPROXIMATELY+350+SOUTH+OF+BELLEVUE+HWY+AND+1700+FEET+WEST+OF+THE+INTE,-84.9,42.45,110268
STOCKBRIDGE+CELL+SITE+4400+ADAMS+ROAD,-84.21,42.46,292406
SUNFIELD+CELL+SITE+9875+SUNFIELD+ROAD,-84.99,42.71,110268
WEBBERVILLE+CELL+SITE+2876+DIETZ+ROAD,-84.23,42.67,292406
BELDING+CELL+SITE+7470+WEST+PALMER+ROAD,-85.22,43.07,64697
I69%2FWEBSTER+CELL+SITE+14757+NICHOLS+ROAD,-84.43,42.8,79595
TWIN+MOUNTAIN,-105.31,38.52,47839
BUNKER+HILL+RD.+2.4+MI.+TOP+OF+MTN.,-105.37,38.13,5068
NE+1%2F4+SE+1%2F4+SECTION+35.+TOWNSHIP+48+N.+RANGE+10+W,-105.82,38.36,47839
SW+1%2F4+NW+1%2F4+S+14.+T+15+S.+R+79+W,-106.2,38.75,20356
1.0+M.+E+OF+US+RTE+24.+T+11+S.+R+79+W,-106.27,39.09,8127
SW+1%2F4+SW+1%2F4+SECTION+7.+TOWNSHIP+49+N.+RANGE+9+E,-106.02,38.51,20356
SW+1%2F4+SE+1%2F4+SECTION+13.+TOWNSHIP+9+S.+RANGE+81+W,-106.39,39.26,8127
NE+1%2F4+SE+1%2F4+S+35.+T+11+S.+R+73+W,-105.51,39.05,18845
1180+PARK+CTY+RD,-106.09,39.22,18845
SE+1%2F4+SE+1%2F4+SECTION+21.+TOWNSHIP+18+S.+RANGE+68+W,-105.0,38.46,47839
47717+HWY+285,-105.68,39.46,18845
839+28TH+TRAIL,-105.48,38.32,47839
45+SPAULDING+ROAD,-71.88,41.67,116782
61+LOWELL+DAVIS+ROAD,-71.85,41.98,116782
83+WINDHAM+STREET,-72.22,41.72,116782
165+HUNTINGTON+ROAD,-72.1,41.7,116782
215+COATNEY+HILL+ROAD,-72.02,41.96,116782
KNOWLTON+HILL+RD,-72.21,41.84,116782
165+ELMWOOD+HILL+ROAD,-71.81,41.93,116782
7+EXETER+DRIVE,-71.82,41.71,116782
SHERMAN+STREET,-72.09,41.98,116782
NORTH+OF+SR-50.+2.25+MILES+WEST+OF+JCT.+I-85+AND+US-29,-85.23,32.85,33254
2+MILES+NORTH+OF+LAFAYETTE.+ALABAMA,-85.4,32.93,33254
.4+MI+NE+OF+I-85%27S+INTERCHANGE-70.+1.4+MI+E+OF+CH+55.+2.9+MI+SE+OF,-85.28,32.75,14910
820+W.+PORT+STREET,-92.16,29.98,59511
29801+W+HWY+83,-92.46,29.65,59511
26129+CEMETARY+RD.,-92.42,29.96,59511
12635+OFFSHORE+RD.,-92.18,29.78,59511
1309+OLLIE+RD.,-92.01,29.96,59511
200+LEBLANC+ROAD,-92.12,30.13,244390
801+8TH+STREET,-92.51,30.03,59511
21422+KENO+ROAD,-92.3,29.84,59511
3404+VERTRANS+MEMORIAL+DR.,-92.09,29.97,59511
2223+LA+HWY+35,-92.27,30.12,59511
507+ARTHUR+BOURGEOIS,-92.28,29.99,59511
17102+W.+LA+330,-92.11,29.9,59511
3577+NORTH+100+WEST,-86.72,41.66,109888
4266+N+CR+525+W,-86.81,41.67,109888
9555+W.+125+SOUTH,-86.89,41.59,109888
WATERFORD+SITE+3613+N+950+W+-+HV218%2F421+%26+94,-86.88,41.66,109888
1000+FT.+WEST+OF+THE+INTERSECTION+OF+MITCHELL+LANE+AND+ARKANSAS+69.+2,-91.7,35.81,37825
APPROX.+.5+MILES+SW+OF+HARDY,-91.49,36.31,17442
NEWPORT+CELL+SITE,-91.24,35.6,16719
2528+BEN+BROCK+ROAD,-90.98,36.29,17958
200+JA+910,-91.14,35.83,16719
APPROXIMATELY+0.25+MILES+NORTH+OF+HWY.+63+%26+1+MILE+NORTHWEST+OF+HWY.+2,-91.12,36.12,16406
APPROX.+950%27+EAST+OF+HWY.+90+AND+1.8+MILES+SW+OF+WYATT+CEMETARY+RAVEND,-91.25,36.25,16406
APPROX.+0.4+MILES+E+OF+US-167+AND+0.3+MILES+SOUTH+OF+HWY.+56,-91.6,36.06,17442
APPROX.+0.7+MILES+ENE+OF+OAK+GROVE+CHURCH+AND+1.8+MILES+SSE+OF+KYLER+C,-91.63,35.65,37825
%28MCCRORY+SITE%29+RT.+2+BOX+238,-91.22,35.22,6320
%28WALDENBURG+SITE%29+ACROSS+HIGHWAY+FROM+11671+HIGHWAY+14+EAST,-90.82,35.56,23528
%28POCAHONTAS+SW%29+100+HITE+SMITH+ROAD,-91.02,36.26,17958
%28MAYNARD+SITE%29+500+WEST+OF+12645+A+115,-90.9,36.41,17958
5+MILES+NNW+OF,-95.43,47.59,8818
TURTLE+RIVER.+6.8+KM+ENE,-94.8,47.52,47188
800+FEET+WEST+OF+COUNTY+RD.+21.+4.0+MILES+WSW+FROM+THE+TOWN+OF+BAUDETT,-94.7,48.69,3740
IN+THE+TOWN+OF+ADA.+NORTH+SIDE+IN+THE+INDUSTRIAL+PARK,-96.5,47.31,6375
1.6+MILES+N+OF+THE+JUNCTION+OF+SR-200+%26+CR-4+1.6+MILES+N+OF,-95.62,47.35,5527
1.2+MILES+NE+OF+SR-72+3+MILES+N+OF,-94.5,48.21,47188
3.75+MILES+E+OF+US%2F+CANADIAN+BORDER+1+MILE+S+OF+US%2F+CANADIAN+BORDER,-95.07,49.34,3740
3.2+KM+SOUTH+OF+JCT+SR-1+%26+SR-89,-95.04,47.84,47188
4.0+KM+SOUTH+OF,-94.87,47.42,47188
10.1+KM+NE+OF,-96.16,47.32,6375
1427+NORTON+AVENUE+NW,-94.89,47.48,47188
2.2+KM+SW+OF,-94.57,47.72,47188
0.2+MILE+NORTH+OF+SR-34+0.1+MILE+EAST+OF+JEFFERSON+STREET,-84.79,33.39,148509
0.2+MILE+EAST+OF+SR-100.+1.1+MILES+WEST+OF+US-29,-84.92,33.2,69922
0.3+MILE+WEST+OF+I-85.+0.56+MILE+SOUTH+OF+SR-109,-84.98,33.03,69922
ROCK+QUARRY+ROAD,-84.6,37.1,64979
BURDETTE+RD,-84.33,37.41,16695
961+OLD+WHITLEY+ROAD,-84.1,37.01,60813
400+WATER+TANK+HILL+RD,-84.41,37.4,16695
208+DAVIS+LANE,-84.33,37.35,16695
464+NORTH+HART+RD,-84.67,37.1,64979
144+TANGLEWOOD+DR,-84.41,37.3,16695
230+ROBINSON+RD,-84.11,37.16,60813
151+JIM+LAMBERT+ROAD,-84.33,37.5,16695
14008+SOUTH+COUNTY+ROAD+1160,-101.97,31.82,176832
7700+NORTH+MIDLAND+DRIVE,-102.16,32.07,176832
6310+HIGHWAY+349,-102.09,32.07,176832
13501+WEST+COUNTY+ROAD+127,-102.26,31.9,176832
11500+W+HWY+158,-102.28,32.05,176832
21505+SOUTH+HIGHWAY+349,-102.0,31.7,176832
6306+EAST+I-20,-101.98,32.04,176832
8545+US+HIGHWAY+385+NORTH,-102.33,31.64,4797
11507+EAST+COUNTY+ROAD+120,-101.88,32.0,176832
HIGHWAY+83+1+MILE+WEST+OF+FARM+MARKET+2221,-98.5,26.25,868707
1709+E.+HWY+281,-98.24,26.1,868707
2500+MILE+8+NORTH.+SW+CORNER+OF+8+MI+LINE+RD+%26+FM+1425,-97.89,26.17,868707
3+5+MI+N+OF+ELSA+1+5+MI+E+OF+HWY+493,-98.01,26.35,868707
7+MILE+NORTH+OF+HIGHWAY+186+ON+HIGHWAY+281,-98.11,26.65,868707
6401+S+WARE+RD,-98.27,26.15,868707
416+NORTH+LOS+EBANOS,-98.34,26.21,868707
124521+US+HWY+281,-98.06,26.07,868707
FARM+MARKET+2058+2+MILES+SOUTH+OF+MCCOOK,-98.4,26.43,868707
4925+SOUTH+BRYAN+ROAD,-98.32,26.16,868707
37255+FARM+MARKET+1017++UNIT+AT%26T,-98.34,26.64,868707
4516+EAST+MICHIGAN+ROAD,-85.69,39.49,44729
5975+EAST+400+NORTH,-85.7,39.85,78168
114+EAST+236TH+STREET,-86.16,40.13,338011
27100+CAL+CARSON+RD,-86.09,40.18,338011
925+NORTH+LINCOLN+STREET,-86.42,39.44,70489
8809+WEST+COUNTY+ROAD+600+SOUTH,-86.63,39.95,67843
850N+BETWEEN+150E+200E,-85.74,39.65,44729
6778+COUNTY+ROAD+1025+EAST,-85.61,39.88,78168
7155E+650S,-85.97,39.38,158167
7998+W+100+N,-86.67,39.77,170311
8928+SOUTH+DIVISION+ROAD,-85.78,39.4,44729
10656+WEST+HORSEBARN+ROAD,-86.63,39.6,70489
2571+LEGENDARY+HILLS+RD,-86.47,39.38,70489
CR+750+N,-86.34,40.15,67843
7493+NORTH+STATE+ROAD+9,-85.77,39.89,78168
418+SOUTH+MCKINLEY,-86.65,39.85,170311
3244+SOUTH+STATE+ROAD+67+WEST,-86.6,39.38,70489
2495+WEST+STATE+ROAD+252,-86.14,39.4,158167
19999+MONTANA+ROAD,-85.87,40.08,338011
2396+WEST+450+NORTH,-86.51,40.1,67843
8910+281ST+STREET+EAST,-86.01,40.2,338011
3031+EAST+32ND+STREET,-86.04,39.38,158167
COUNTY+ROAD+690+NORTH,-86.63,40.14,67843
NELSON+ROAD,-86.65,39.52,70489
3720+STATE+ROAD+252,-86.36,39.41,70489
1849+HWY+351,-99.69,32.48,138034
1634+PRIVATE+ROAD+6400,-99.49,32.41,13943
1973+I-20+EAST,-99.36,32.39,13943
12308+COUNTY+ROAD+324,-99.18,32.38,13943
13195+HIGHWAY+283,-99.41,32.23,13943
1210+NORTHWEST+AVENUE+D,-100.14,32.88,20083
1201+NORTH+WEBB+STREET,-99.8,32.96,20083
11451+HIGHWAY+180+EAST,-99.73,32.75,20083
15310+HIGHWAY+277+SOUTH,-100.03,32.23,138034
1194+CR+131,-99.76,32.22,138034
COUNTY+ROAD+303+1%2F2+MILE+EAST+OF+1235,-99.97,32.42,138034
10962+PRIVATE+ROAD+4145,-99.19,32.13,13943
COUNTY+ROAD+274.+7%2F10+MILE+WEST+OF+FM+613,-99.85,32.23,138034
COUNTY+ROAD+476,-99.99,32.64,20083
102+FARM+MARKET+604,-99.63,32.15,138034
321+COUNTY+ROAD+228,-100.09,32.17,138034
ROUTE+1+BOX+127,-99.88,32.79,20083
1951+FARM+MARKET+603,-99.56,32.4,13943
3.2+KM+NORTH+OF+I-59+%26+SR+-11,-89.33,31.29,74897
3.5+KM+SOUTH+OF,-89.2,31.02,74897
.8+KM+EAST+OF,-89.49,30.93,55535
5.6+KM+NORTH+OF+I-59+%26+SR-203,-89.63,30.57,55535
1.8+KM+NE+FO+US-98+%26+SR-26,-88.58,30.94,24500
3.2+KM+EAST+OF,-89.79,31.25,24573
MIDWAY+BETWEEN+BEAUMONT+AND,-88.98,31.19,24500
1.5KM+NNW+OF+US-98+AND+KING+ROAD,-89.42,31.33,63343
ON+STATE+LINE+RIVER+ROAD+4.0+KM.+NW+OF+LEAKESVILLE,-88.57,31.18,13586
4.0+KM+EAST+OF,-88.89,31.37,11973
1.9+KM+EAST+OF,-89.39,31.14,63343
SOUTH+SIDE+OF,-89.68,31.52,55535
3+KM+EAST-NORTHEAST+OF,-89.22,31.36,74897
10.5+KM+SOUTH+OF,-89.54,30.75,55535
CELL+SITE%3A3.6+KM+SW+OF,-89.25,31.17,74897
3.25+KM.+EAST+OF,-89.56,31.3,74897
NORTH+HATTIESBURG+CELL+SITE%3A+8.0+KM+NW+OF,-89.36,31.37,74897
7.3+KM+NE+OF,-89.4,31.05,63343
KOKOMO.+829+BRANTON+BAY+ROAD,-90.0,31.19,24573
HC+BOX+151+MINNEOLA,-100.0,37.31,1994
R+320+7TH+RD,-100.56,37.56,5988
9906+7TH+ST,-100.56,37.87,5988
19010+%22P%22++RD.,-100.32,37.26,4033
10207+131ST+ROAD,-99.66,37.88,33619
12154+133RD+ROAD,-99.61,37.59,33619
2104+P+ROAD,-100.63,37.26,4033
14+W+HWY+54+M.+RD,-100.84,37.08,21428
23295+N.E.+219+RD.,-99.88,38.11,1794
31625+EAST+HIGHWAY+156,-100.32,38.06,36467
EDWARDS+6TH+RD+AND+1ST+RD,-99.4,38.04,2798
5511+FARM+MARKET+2355,-103.27,31.6,11998
1339+COUNTY+ROAD+205,-102.9,31.64,11998
9128+FM+2083,-101.27,30.74,3464
300+OSTRICH+ROAD,-101.44,31.21,3849
4902+LINDLEY+ROAD,-100.87,31.27,1536
2612+COUNTY+ROAD+305,-101.72,30.76,3464
3940+RANCH+ROAD+1691,-100.62,30.56,3776
194+EAST+US+HIGHWAY+190,-100.59,30.86,2793
518+STATE+HIGHWAY+302,-103.07,31.85,8010
9128+FARM+MARKET+2083,-101.48,30.44,3464
3300+COUNTY+ROAD+465,-102.19,31.31,3657
7241+I-10+EAST,-102.2,30.92,15823
1200+ROAD+102,-101.94,31.24,3657
HIGHWAY+163+%2F+JUNO+ROAD,-101.1,30.12,49025
HIGHWAY+377,-100.6,30.13,1932
19795C+LANGTRY+ROAD,-101.59,30.08,49025
607+SOUTHWEST+15TH,-102.35,31.39,4797
1198+SOUTH+TEXACO+PLANT+ROAD,-102.6,31.72,166223
3455+NORTH+HIGHWAY+1776,-103.03,31.33,15823
597+EAST+HIGHWAY+302,-102.79,31.92,166223
21505+SOUTH+HIGHWAY+349,-102.0,31.7,176832
8545+US+HIGHWAY+385+NORTH,-102.33,31.64,4797
7610+WEST+HIGHWAY+115,-102.81,32.16,18705
1191+COUNTY+ROAD+270,-101.43,31.76,1409
1777+COUNTY+ROAD+125,-101.54,31.82,1409
14008+SOUTH+COUNTY+ROAD+1160,-101.97,31.82,176832
CORNER+OF+JCT.+OF+HWY+43+%26+EAST+7TH+ROAD,-89.03,41.55,108669
0.5+KM+EAST+OF+I-39%3B+0.9+KM+SOUTH+OF+STATE+RT.+71,-89.08,41.26,108669
3.5+MILES+NORTHEAST+OF,-89.39,41.41,32628
1.2+KM+N+OF+ILL+RT+23+%26+US+RT+6,-88.85,41.39,108669
0.6+MI+N+OF+INTERSECTION+OF+800+E.+%26+1550+N.,-89.7,41.38,32628
350%27+EAST+OF+SHERIDAN+CUTOFF+ROAD+0.5+MILES+SE+OF+EAST+SHORE+OF+LAKE+H,-88.65,41.62,108669
0.18+MILES+WEST+OF+I-180.+1.9+MILES+SSW+OF+I-180++%26+SR+-+26+JCT..+1.8,-89.4,41.29,32628
1+MILE+WEST+OF+SR-23.+3.1+MILES+SOUTH+OF+I-80.+1.3+MILES+SW+OF,-88.86,41.32,108669
RANSOM+2.0+MILES+WEST+OF+LA+SALLE%2F+GRUNDY+COUNTY+BORDER.+7.0+MILES+SOU,-88.62,41.2,108669
1.85+KM+NE+OF+LA+MOILLE%3B+0.89+KM+NORTH+OF+US+ROUTE+34,-89.27,41.55,32628
2.5+KM+SOUTH+OF+SHERIDAN%3B+1.85+KM+EAST+OF+FOX+RIVER,-88.68,41.51,108669
0.8+KM+N+OF+STATE+ROUTE+92%3B+3.1+KM+S+OF+BASE+LINE+RD%3B+3.2+KM+E+OF+CITY,-89.55,41.56,32628
1.6+KM+S+OF+MENDOTA%3B+1.6+KM+S+OF+INTER.+OF+US+HWY+34+%26+IL+CENTRAL+GULF,-89.12,41.53,108669
0.03+KM+NORTH+OF+U.S.+HIGHWAY+6%3B+0.7+KM+WEST+OF+GOSSE+BLVD.,-89.48,41.37,32628
1925+STITLEY+ROAD,-77.63,39.87,155027
12519+COLD+SPRING+ROAD,-77.61,39.76,155027
7935+WHITE+CHURCH+ROAD,-77.52,40.02,155027
16765+TIMMONS+RD,-77.75,40.12,155027
R.D.+2.+ROUTE+484+%28I-70%29,-78.23,39.76,14530
ROUTE+475,-78.0,40.04,14530
301+S.+ANTRIM+WAY,-77.73,39.78,155027
3000+FT.+EAST+OF+I+70+NORTH,-78.23,39.89,14530
MERCERSBURG+SITE+11900+BUCHANAN+TRAIL+WEST+%28PA13371-A%29,-77.91,39.84,155027
322+NORTH+STREET,-82.42,39.55,28264
8650+RUSHCREEK+ROAD+NORTHWEST,-82.39,39.78,36134
4350+SAND+HILL+ROAD+SW,-82.74,39.67,157574
KELLY+ROAD+T-535,-82.34,39.48,28264
1823+US+HWY+22,-82.29,39.81,36134
7397+SR+668,-82.33,39.62,36134
3150+PANTHER+DRIVE,-82.2,39.73,36134
7833+TOWNSHIP+ROAD+114,-82.16,39.8,36134
10699+CR+9,-101.46,35.84,20938
11780+CR+P,-100.97,36.29,9836
15745+HIGHWAY+203,-100.28,34.89,2920
10480+US+HWY+60,-100.39,35.81,3819
9510+HWY+15,-101.38,36.25,5399
SE+OF+2ND+AVENUE+AND+S.+BIRCH+STREET,-100.8,36.4,9836
14225+FM+2172,-100.33,36.36,3233
4750+FM+1260,-100.83,34.98,3278
4390+COUNTY+ROAD+18,-101.31,34.94,1887
11905+EL+RANCHO+ROAD,-101.72,35.31,117415
23427+SOUTH+LAKESIDE+DRIVE,-101.74,34.98,137713
16050+EAST+BUSINESS+40,-100.23,35.22,5056
17044+HWY+152,-100.04,35.44,5056
12055+US+HWY+6,-100.19,36.06,3233
HIGHWAY+152+AND+OKLAHOMA+ROAD,-100.0,35.52,3583
1700+FM+2162,-100.91,34.93,3278
101+BROADMOORE,-101.44,35.65,20938
25000+HWY+136,-101.63,35.46,117415
211+EAST+INDUSTRIAL+AVENUE,-100.53,36.46,3233
3.5+MILES+NORTHWEST+OF+LAURENS,-82.05,34.54,67493
NEWBERRY+CELL+SITE+-+RR+2+BOX+128,-81.56,34.24,38440
INDUSTRIAL+PARK+RD.+RT.+72+AND+28+4+MILES+SE+OF+ABBEVILLE,-82.41,34.16,24527
CLINTON+CELL+SITE+-+SR+2+%26+DOUBLE+A+RD,-81.81,34.47,67493
1.9+MILES+SOUTH+SOUTHEAST+OF+PLUM+BRANCH.+ON+HWY+%23221,-82.25,33.82,9463
WARE+SHOALS,-82.28,34.38,70811
EDGEFIELD,-81.95,33.79,27260
SALUDA+CELL+SITE-206+WEST+BUTLER+ROAD,-81.77,34.0,20473
I-26+CELL+SITE+-+341+FOUR+OAKS+ROAD,-81.41,34.22,38440
MCCORMICK+II+CELL+SITE+3+MILES+INSIDE+HICKORY+KNOB+STATE+PARK,-82.43,33.88,9463
ANTREVILLE+CELL+SITE+-+489+BROWN+LEE+ROAD,-82.53,34.25,24527
GARY+CELL+SITE+-+OFF+OF+HWY.+34+ON+GENERAL+HENDERSON+ROAD,-81.57,34.32,38440
OWINGS+CELL+SITE+-+475+FRONTAGE+ROAD,-82.16,34.65,67493
905+WILSON+BRIDGE+ROAD++%28NINETY-SIX++SC+RSA+2%29,-82.02,34.2,70811
N1030+ROAD+NEAR+SR+6,-99.54,35.42,21859
502+W+3RD,-98.47,35.12,28762
EXIT+95+NEAR+I-40,-98.46,35.52,28762
END+OF+E1080+ROAD,-98.99,35.44,10916
ON+HWY+81.+2+MI+NORTH+%26+6+MI+W+OF,-97.98,34.81,55834
