"","name","country.etc","pop","lat","lon","capital"
"21819","Lynn","USA",89786,42.47,-70.96,0
"21820","Lynwood","USA",72890,33.92,-118.2,0
"21918","MacAllen","USA",125985,26.22,-98.24,0
"21920","MacKinney","USA",108976,33.2,-96.65,0
"21921","MacLean","USA",39731,38.94,-77.18,0
"21970","Macon","USA",93755,32.84,-83.66,0
"21997","Madera","USA",53222,36.97,-120.08,0
"22022","Madison","USA",227642,43.08,-89.39,0
"22023","Madison","USA",39516,34.7,-86.75,0
"22341","Malden","USA",55066,42.43,-71.06,0
"22478","Manchester","USA",110384,42.98,-71.44,0
"22547","Manhattan","USA",45671,39.19,-96.59,0
"22605","Mansfield","USA",50010,40.76,-82.53,0
"22611","Manteca","USA",69588,37.8,-121.22,0
"22658","Maple Grove","USA",62021,45.11,-93.46,0
"22756","Margate","USA",55844,26.25,-80.21,0
"22794","Marietta","USA",61946,33.95,-84.54,0
"22901","Marshfield","USA",60784,42.09,-70.71,0
"23311","Medford","USA",53579,42.42,-71.11,0
"23312","Medford","USA",70717,42.34,-122.85,0
"23414","Melbourne","USA",77320,28.11,-80.64,0
"23471","Memphis","USA",639736,35.11,-90.01,0
"23511","Mentor","USA",49597,41.69,-81.33,0
"23527","Merced","USA",74415,37.3,-120.48,0
"23556","Meriden","USA",59558,41.54,-72.8,0
"23557","Meridian","USA",48376,43.61,-116.4,0
"23585","Mesa","USA",461167,33.42,-111.74,0
"23599","Mesquite","USA",132746,32.77,-96.6,0
"23611","Metairie","USA",141606,30,-90.18,0
"23621","Methuen","USA",45666,42.73,-71.19,0
"23706","Miami","USA",386740,25.78,-80.21,0
"23707","Miami Beach","USA",89531,25.81,-80.14,0
"23742","Middletown","USA",51189,41.55,-72.65,0
"23743","Middletown","USA",53027,39.51,-84.37,0
"23748","Midland","USA",42516,43.62,-84.23,0
"23749","Midland","USA",98261,32.03,-102.1,0
"23757","Midwest City","USA",55090,35.46,-97.37,0
"23837","Milford","USA",51360,41.23,-73.06,0
"23863","Milpitas","USA",62671,37.43,-121.89,0
"23868","Milwaukee","USA",575250,43.06,-87.97,0
"23914","Minneapolis","USA",364726,44.96,-93.27,0
"23917","Minnetonka","USA",49918,44.93,-93.46,0
"23954","Miramar","USA",123116,25.98,-80.33,0
"24011","Mishawaka","USA",49534,41.67,-86.17,0
"24023","Mission","USA",65215,26.21,-98.32,0
"24024","Mission Viejo","USA",97001,33.61,-117.65,0
"24028","Missoula","USA",64391,46.87,-114.01,0
"24029","Missouri City","USA",73529,29.57,-95.54,0
"24143","Mobile","USA",188467,30.68,-88.09,0
"24161","Modesto","USA",221674,37.66,-120.99,0
"24274","Moline","USA",42427,41.49,-90.49,0
"24365","Monroe","USA",51292,32.51,-92.08,0
"24398","Montclair","USA",39801,40.82,-74.21,0
"24418","Montebello","USA",64727,34.02,-118.11,0
"24444","Monterey Park","USA",63766,34.05,-118.13,0
"24466","Montgomery","USA",197653,32.35,-86.28,0
"24467","Montgomery Village","USA",42453,39.18,-77.19,0
"24501","Moore","USA",48749,35.33,-97.47,0
"24564","Moreno Valley","USA",174068,33.93,-117.21,0
"24708","Mount Pleasant","USA",61690,32.82,-79.86,0
"24709","Mount Prospect","USA",55100,42.07,-87.94,0
"24710","Mount Vernon","USA",68048,40.91,-73.83,0
"24713","Mountain View","USA",67788,37.4,-122.08,0
"24893","Muncie","USA",64771,40.2,-85.39,0
"24940","Murfreesboro","USA",88161,35.85,-86.39,0
"24967","Murray","USA",56848,40.65,-111.89,0
"24970","Murrieta","USA",97999,33.56,-117.21,0
"24994","Muskegon","USA",40058,43.23,-86.26,0
"25313","Nampa","USA",77893,43.58,-116.56,0
"25395","Napa","USA",77884,38.3,-122.3,0
"25399","Naperville","USA",147178,41.76,-88.15,0
"25464","Nashua","USA",87113,42.75,-71.49,0
"25465","Nashville","USA",523547,36.17,-86.78,0
"25491","National City","USA",64065,32.67,-117.1,0
"25858","New Bedford","USA",94039,41.66,-70.94,0
"25859","New Braunfels","USA",47533,29.7,-98.12,0
"25860","New Britain","USA",71362,41.68,-72.79,0
"25861","New Brunswick","USA",51044,40.49,-74.45,0
"25866","New Haven","USA",125030,41.31,-72.92,0
"25867","New Milford","USA",58524,41.58,-73.41,0
"25871","New Orleans","USA",454207,30.07,-89.93,0
"25874","New Rochelle","USA",72865,40.92,-73.78,0
"25878","New York","USA",8124427,40.67,-73.94,0
"25880","Newark","USA",281378,40.72,-74.17,0
"25881","Newark","USA",43018,37.52,-122.03,0
"25882","Newark","USA",46870,40.07,-82.42,0
"25899","Newport Beach","USA",79305,33.61,-117.87,0
"25900","Newport News","USA",183941,37.08,-76.51,0
"25904","Newton","USA",84969,42.33,-71.21,0
"25978","Niagara Falls","USA",52509,43.09,-79.02,0
"26301","Norfolk","USA",248182,36.92,-76.24,0
"26304","Normal","USA",52497,40.52,-89,0
"26305","Norman","USA",102925,35.23,-97.34,0
"26320","North Atlanta","USA",45739,33.86,-84.33,0
"26324","North Bergen","USA",64575,40.79,-74.03,0
"26325","North Bethesda","USA",45600,39.04,-77.12,0
"26326","North Brunswick Township","USA",39567,40.45,-74.48,0
"26327","North Charleston","USA",83247,32.91,-80.04,0
"26330","North Fort Myers","USA",47790,26.71,-81.89,0
"26331","North Highlands","USA",46156,38.67,-121.38,0
"26332","North Las Vegas","USA",177751,36.27,-115.14,0
"26333","North Little Rock","USA",58771,34.79,-92.26,0
"26334","North Miami","USA",58238,25.9,-80.17,0
"26335","North Miami Beach","USA",39551,25.93,-80.17,0
"26336","North Port","USA",41919,27.05,-82.19,0
"26337","North Richland Hills","USA",64317,32.86,-97.22,0
"26349","Norwalk","USA",110002,33.91,-118.08,0
"26350","Norwalk","USA",84801,41.09,-73.42,0
"26421","Novato","USA",49005,38.09,-122.56,0
"26439","Novi","USA",55079,42.48,-83.49,0
"26747","O'Fallon","USA",79091,38.78,-90.71,0
"26749","Oak Lawn","USA",54638,41.72,-87.75,0
"26750","Oak Park","USA",48922,41.89,-87.79,0
"26753","Oakland","USA",393632,37.77,-122.22,0
"26824","Ocala","USA",50241,29.19,-82.13,0
"26830","Oceanside","USA",172251,33.23,-117.31,0
"26873","Odessa","USA",91246,31.87,-102.35,0
"26919","Ogden","USA",78572,41.23,-111.97,0
"27009","Oklahoma City","USA",538141,35.47,-97.51,0
"27038","Olathe","USA",118165,38.89,-94.81,0
"27134","Olympia","USA",45403,47.04,-122.89,0
"27140","Omaha","USA",417809,41.26,-96.01,0
"27211","Ontario","USA",175805,34.05,-117.61,0
"27271","Orange","USA",134868,33.81,-117.82,0
"27314","Orem","USA",94758,40.3,-111.7,0
"27354","Orland Park","USA",56731,41.61,-87.85,0
"27356","Orlando","USA",211226,28.5,-81.37,0
"27451","Oshkosh","USA",62967,44.02,-88.55,0
"27651","Overland Park","USA",169520,38.91,-94.68,0
"27665","Owensboro","USA",54513,37.76,-87.12,0
"27676","Oxnard","USA",190658,34.2,-119.21,0
"27811","Pahrump","USA",44614,36.2,-115.99,0
"27913","Palatine","USA",68308,42.11,-88.04,0
"27953","Palm Bay","USA",91080,27.99,-80.66,0
"27954","Palm Beach Gardens","USA",50768,26.84,-80.12,0
"27955","Palm Coast","USA",43487,29.57,-81.21,0
"27956","Palm Desert","USA",50126,33.73,-116.38,0
"27957","Palm Harbor","USA",65500,28.09,-82.76,0
"27958","Palm Springs","USA",47434,33.78,-116.53,0
"27973","Palmdale","USA",139337,34.61,-118.09,0
"27990","Palo Alto","USA",56084,37.4,-122.14,0
"28178","Paradise","USA",221051,36.08,-115.13,0
"28208","Paramount","USA",57672,33.9,-118.16,0
"28254","Parker","USA",45478,39.51,-104.76,0
"28259","Parkway-South Sacramento","USA",39984,38.51,-121.45,0
"28263","Parma","USA",81917,41.38,-81.73,0
"28283","Parsippany-Troy Hills Township","USA",52051,40.86,-74.42,0
"28300","Pasadena","USA",145351,29.66,-95.15,0
"28301","Pasadena","USA",146676,34.16,-118.14,0
"28309","Pasco","USA",45774,46.25,-119.13,0
"28331","Passaic","USA",69035,40.86,-74.13,0
"28363","Paterson","USA",151523,40.91,-74.16,0
"28434","Pawtucket","USA",75297,41.87,-71.37,0
"28457","Peabody","USA",50698,42.53,-70.97,0
"28460","Pearland","USA",59287,29.56,-95.28,0
"28549","Pembroke Pines","USA",160157,26.01,-80.34,0
"28573","Penn Hills","USA",44124,40.48,-79.83,0
"28578","Pensacola","USA",53652,30.44,-87.19,0
"28590","Peoria","USA",112894,40.74,-89.61,0
"28591","Peoria","USA",146634,33.69,-112.24,0
"28673","Perris","USA",48555,33.79,-117.22,0
"28682","Perth Amboy","USA",49448,40.52,-74.27,0
"28727","Petaluma","USA",55536,38.24,-122.63,0
"28840","Pharr","USA",63806,26.18,-98.19,0
"28849","Philadelphia","USA",1439814,40.01,-75.13,0
"28857","Phoenix","USA",1450884,33.54,-112.07,0
"28895","Pico Rivera","USA",66874,33.99,-118.09,0
"29029","Pine Bluff","USA",52802,34.21,-92.02,0
"29030","Pine Hills","USA",46248,28.58,-81.46,0
"29032","Pinellas Park","USA",46469,27.86,-82.71,0
"29154","Pittsburg","USA",64106,38.02,-121.89,0
"29155","Pittsburgh","USA",316272,40.44,-79.98,0
"29156","Pittsfield","USA",43821,42.45,-73.26,0
"29170","Placentia","USA",49679,33.88,-117.85,0
"29180","Plainfield","USA",47769,40.62,-74.42,0
"29196","Plano","USA",260415,33.05,-96.75,0
"29197","Plantation","USA",86330,26.13,-80.26,0
"29223","Pleasanton","USA",67119,37.67,-121.89,0
"29256","Plymouth","USA",133313,41.96,-70.67,0
"29257","Plymouth","USA",73505,45.02,-93.46,0
"29268","Pocatello","USA",50496,42.88,-112.47,0
"29441","Pomona","USA",157501,34.06,-117.76,0
"29444","Pompano Beach","USA",90446,26.24,-80.13,0
"29496","Pontiac","USA",67952,42.65,-83.29,0
"29557","Port Arthur","USA",56728,29.9,-93.93,0
"29560","Port Charlotte","USA",49840,26.99,-82.11,0
"29584","Port Orange","USA",55891,29.11,-81.01,0
"29589","Port Saint Lucie","USA",126377,27.28,-80.35,0
"29610","Portage","USA",46666,42.2,-85.59,0
"29618","Porterville","USA",45703,36.06,-119.03,0
"29626","Portland","USA",542751,45.54,-122.66,0
"29627","Portland","USA",62882,43.66,-70.28,0
"29665","Portsmouth","USA",98664,36.86,-76.36,0
"29705","Potomac","USA",45119,39.03,-77.2,0
"29743","Poway","USA",49943,32.99,-117.02,0
"29820","Prescott","USA",41432,34.58,-112.45,0
"29941","Providence","USA",178295,41.82,-71.42,0
"29945","Provo","USA",105832,40.25,-111.64,0
"30005","Pueblo","USA",104659,38.27,-104.62,0
"30512","Quincy","USA",39549,39.93,-91.39,0
"30513","Quincy","USA",89347,42.26,-71.01,0
"30589","Racine","USA",78703,42.73,-87.81,0
"30729","Raleigh","USA",350822,35.82,-78.66,0
"30786","Rancho Cordova","USA",59972,38.6,-121.3,0
"30787","Rancho Cucamonga","USA",177721,34.12,-117.57,0
"30789","Rancho Palos Verdes","USA",42966,33.76,-118.36,0
"30790","Rancho Santa Margarita","USA",52447,33.64,-117.6,0
"30840","Rapid City","USA",62302,44.08,-103.23,0
"30951","Reading","USA",79476,40.34,-75.93,0
"30977","Redan","USA",40141,33.74,-84.16,0
"30981","Redding","USA",93865,40.57,-122.36,0
"30984","Redford","USA",49542,42.39,-83.29,0
"30987","Redlands","USA",71605,34.06,-117.17,0
"30988","Redmond","USA",47662,47.67,-122.11,0
"30992","Redondo Beach","USA",68669,33.86,-118.38,0
"30995","Redwood City","USA",71340,37.52,-122.21,0
"31078","Reno","USA",206626,39.54,-119.82,0
"31081","Renton","USA",57369,47.48,-122.2,0
"31107","Reston","USA",61977,38.95,-77.35,0
"31129","Revere","USA",46259,42.42,-70.99,0
"31169","Rialto","USA",103423,34.11,-117.39,0
"31201","Richardson","USA",107481,32.97,-96.71,0
"31204","Richland","USA",46156,46.29,-119.29,0
"31210","Richmond","USA",103818,37.95,-122.36,0
"31211","Richmond","USA",189498,37.53,-77.47,0
"31319","Rio Rancho","USA",66833,35.27,-106.66,0
"31396","Riverside","USA",306351,33.94,-117.4,0
"31426","Roanoke","USA",90410,37.28,-79.96,0
"31451","Rochester","USA",209587,43.17,-77.62,0
"31452","Rochester","USA",98227,44.01,-92.48,0
"31453","Rochester Hills","USA",68879,42.67,-83.16,0
"31456","Rock Hill","USA",61899,34.94,-81.03,0
"31458","Rockford","USA",153148,42.27,-89.06,0
"31461","Rocklin","USA",59546,38.8,-121.24,0
"31462","Rockville","USA",63516,39.08,-77.15,0
"31464","Rocky Mount","USA",56008,35.96,-77.81,0
"31502","Rogers","USA",46984,36.33,-94.13,0
"31515","Rohnert Park","USA",41154,38.35,-122.7,0
"31561","Romeoville","USA",46960,41.65,-88.09,0
"31644","Rosemead","USA",56542,34.07,-118.08,0
"31652","Roseville","USA",120444,38.76,-121.29,0
"31653","Roseville","USA",47190,42.51,-82.94,0
"31687","Roswell","USA",43788,33.37,-104.53,0
"31688","Roswell","USA",76825,34.04,-84.36,0
"31715","Round Rock","USA",95330,30.52,-97.67,0
"31732","Rowland Heights","USA",53112,33.98,-117.89,0
"31733","Rowlett","USA",57174,32.91,-96.55,0
"31741","Royal Oak","USA",57043,42.51,-83.15,0
"32039","Sacramento","USA",480392,38.57,-121.47,0
"32095","Saginaw","USA",56685,43.42,-83.95,0
"32145","Saint Charles","USA",62284,38.79,-90.52,0
"32146","Saint Clair Shores","USA",60089,42.49,-82.89,0
"32148","Saint Cloud","USA",59074,45.55,-94.17,0
"32153","Saint George","USA",63952,37.08,-113.58,0
"32167","Saint Joseph","USA",71282,39.76,-94.82,0
"32172","Saint Louis","USA",315546,38.64,-90.24,0
"32173","Saint Louis Park","USA",44032,44.95,-93.36,0
"32180","Saint Paul","USA",272469,44.95,-93.1,0
"32184","Saint Peters","USA",54258,38.78,-90.61,0
"32186","Saint Petersburg","USA",245804,27.76,-82.64,0
"32487","Salem","USA",148942,44.92,-123.02,0
"32488","Salem","USA",42859,42.53,-70.87,0
"32508","Salina","USA",45715,38.82,-97.62,0
"32514","Salinas","USA",150050,36.68,-121.64,0
"32550","Salt Lake City","USA",177318,40.78,-111.93,0
"32693","San Angelo","USA",88143,31.45,-100.45,0
"32709","San Antonio","USA",1278171,29.46,-98.51,0
"32742","San Bernardino","USA",205743,34.14,-117.29,0
"32750","San Bruno","USA",39523,37.62,-122.43,0
"32754","San Buenaventura","USA",106518,34.27,-119.26,0
"32780","San Clemente","USA",64987,33.45,-117.61,0
"32798","San Diego","USA",1299352,32.81,-117.14,0
"32845","San Francisco","USA",723724,37.77,-122.45,0
"32863","San Gabriel","USA",41861,34.09,-118.1,0
"32939","San Jose","USA",897883,37.3,-121.85,0
"33035","San Leandro","USA",80015,37.71,-122.15,0
"33066","San Luis Obispo","USA",44098,35.27,-120.66,0
"33088","San Marcos","USA",49051,29.88,-97.93,0
"33089","San Marcos","USA",73020,33.14,-117.17,0
"33114","San Mateo","USA",89495,37.56,-122.31,0
"33220","San Rafael","USA",55133,37.98,-122.51,0
"33236","San Ramon","USA",46278,37.76,-121.95,0
"33338","Sandwich","USA",51140,41.76,-70.5,0
"33340","Sandy","USA",89698,40.57,-111.85,0
"33346","Sandy Springs","USA",96496,33.94,-84.37,0
"33348","Sanford","USA",46777,28.79,-81.28,0
"33465","Santa Ana","USA",344086,33.74,-117.88,0
"33481","Santa Barbara","USA",86115,34.43,-119.72,0
"33500","Santa Clara","USA",102178,37.37,-121.97,0
"33504","Santa Clarita","USA",172730,34.41,-118.51,0
"33526","Santa Cruz","USA",54583,36.97,-122.04,0
"33561","Santa Fe","USA",70598,35.68,-105.95,0
"33600","Santa Maria","USA",87107,34.94,-120.44,0
"33621","Santa Monica","USA",89112,34.01,-118.49,0
"33650","Santa Rosa","USA",156669,38.45,-122.7,0
"33691","Santee","USA",52505,32.86,-116.98,0
"33913","Sarasota","USA",53422,27.34,-82.55,0
"34108","Savannah","USA",124898,32.02,-81.13,0
"34174","Sayreville","USA",43390,40.47,-74.32,0
"34196","Schaumburg","USA",73071,42.03,-88.08,0
"34203","Schenectady","USA",59930,42.8,-73.93,0
"34300","Scottsdale","USA",230949,33.69,-111.87,0
"34301","Scranton","USA",72516,41.4,-75.67,0
"34311","Seattle","USA",570430,47.62,-122.35,0
"34312","Seattle Hill-Silver Firs","USA",42238,47.88,-121.16,0
"34620","Severn","USA",43718,39.14,-76.69,0
"34765","Shawnee","USA",59626,39.02,-94.8,0
"34781","Sheboygan","USA",48123,43.75,-87.73,0
"34793","Shelby","USA",76013,42.67,-83.03,0
"34797","Shelton","USA",39988,41.3,-73.14,0
"34931","Shoreline","USA",51316,47.75,-122.36,0
"34940","Shreveport","USA",196228,32.47,-93.8,0
"35068","Sierra Vista","USA",42088,31.57,-110.32,0
"35151","Silver Spring","USA",78119,39.01,-77.02,0
"35170","Simi Valley","USA",121033,34.26,-118.75,0
"35293","Sioux City","USA",82863,42.5,-96.39,0
"35294","Sioux Falls","USA",143534,43.54,-96.73,0
"35466","Skokie","USA",64350,42.04,-87.74,0
"35592","Smyrna","USA",47442,33.87,-84.52,0
"35765","Somerville","USA",74802,42.39,-71.1,0
"35919","South Bend","USA",102927,41.68,-86.27,0
"35921","South Gate","USA",100612,33.94,-118.19,0
"35922","South Hill","USA",47384,47.14,-122.27,0
"35927","South San Francisco","USA",58176,37.66,-122.42,0
"35929","South Valley","USA",39544,35.01,-106.68,0
"35930","South Whittier","USA",59657,33.93,-118.03,0
"35933","Southaven","USA",40806,34.97,-90,0
"35937","Southfield","USA",76506,42.48,-83.26,0
"35938","Southglenn","USA",41951,39.59,-104.95,0
"35969","Sparks","USA",88518,39.54,-119.74,0
"36000","Spokane","USA",197513,47.67,-117.41,0
"36007","Spring Hill","USA",103782,28.48,-82.56,0
"36008","Spring Valley","USA",176522,36.11,-115.24,0
"36011","Springdale","USA",58761,36.18,-94.15,0
"36014","Springfield","USA",116725,39.78,-89.64,0
"36015","Springfield","USA",150128,37.2,-93.29,0
"36016","Springfield","USA",152095,42.12,-72.54,0
"36017","Springfield","USA",56575,44.05,-122.98,0
"36018","Springfield","USA",63915,39.93,-83.8,0
"36081","Stamford","USA",122011,41.1,-73.55,0
"36147","State College","USA",42420,40.79,-77.86,0
"36212","Sterling","USA",56529,39.01,-77.43,0
"36213","Sterling Heights","USA",127027,42.58,-83.03,0
"36231","Stillwater","USA",43473,36.13,-97.07,0
"36252","Stockton","USA",299188,37.97,-121.31,0
"36317","Stratford","USA",51466,41.2,-73.13,0
"36354","Strongsville","USA",45073,41.31,-81.83,0
"36445","Suffolk","USA",84396,36.7,-76.64,0
"36447","Sugar Land","USA",78502,29.62,-95.62,0
"36554","Sumter","USA",40018,33.94,-80.39,0
"36557","Sun City","USA",41380,33.62,-112.28,0
"36601","Sunnyvale","USA",125486,37.39,-122.03,0
"36602","Sunrise","USA",92094,26.15,-80.3,0
"36603","Sunrise Manor","USA",195581,36.19,-115.05,0
"36663","Surprise","USA",74962,33.66,-112.47,0
"36836","Syracuse","USA",140793,43.04,-76.14,0
"36965","Tacoma","USA",197621,47.25,-122.46,0
"37177","Tallahassee","USA",154114,30.46,-84.28,0
"37209","Tamarac","USA",60021,26.2,-80.26,0
"37241","Tamiami","USA",72493,25.76,-80.4,0
"37253","Tampa","USA",328578,27.96,-82.48,0
"37553","Taunton","USA",57377,41.9,-71.09,0
"37602","Taylor","USA",64874,42.23,-83.27,0
"37603","Taylorsville","USA",58200,40.66,-111.94,0
"37645","Teaneck","USA",40197,40.89,-74.01,0
"37746","Temecula","USA",90347,33.5,-117.13,0
"37754","Tempe","USA",158313,33.39,-111.93,0
"37757","Temple","USA",55916,31.1,-97.36,0
"37878","Terre Haute","USA",56544,39.47,-87.38,0
"37926","Texas City","USA",44321,29.41,-94.96,0
"37984","The Colony","USA",45532,33.09,-96.89,0
"37986","The Hammocks","USA",75402,25.67,-80.44,0
"37990","The Woodlands","USA",80285,30.16,-95.49,0
"38047","Thornton","USA",109695,39.89,-104.96,0
"38052","Thousand Oaks","USA",130136,34.19,-118.87,0
"38122","Tigard","USA",48122,45.43,-122.77,0
"38202","Tinley Park","USA",59056,41.57,-87.8,0
"38285","Titusville","USA",43054,28.59,-80.82,0
"38453","Toledo","USA",305292,41.66,-83.58,0
"38506","Toms River","USA",127934,39.94,-74.17,0
"38516","Tonawanda CDP","USA",59175,42.98,-78.88,0
"38559","Topeka","USA",121229,39.04,-95.69,0
"38614","Torrance","USA",146264,33.83,-118.34,0
"38715","Town'n'Country","USA",80599,28.01,-82.58,0
"38717","Towson","USA",54075,39.4,-76.62,0
"38737","Tracy","USA",89639,37.74,-121.43,0
"38814","Trenton","USA",84653,40.22,-74.76,0
"38936","Troy","USA",47993,42.73,-73.68,0
"38937","Troy","USA",81296,42.58,-83.14,0
"39074","Tuckahoe","USA",43996,37.59,-77.59,0
"39075","Tucson","USA",525268,32.2,-110.89,0
"39123","Tulare","USA",51365,36.2,-119.34,0
"39134","Tulsa","USA",379833,36.13,-95.92,0
"39229","Turlock","USA",70570,37.5,-120.85,0
"39245","Tuscaloosa","USA",80164,33.24,-87.54,0
"39247","Tustin","USA",69024,33.73,-117.81,0
"39298","Twin Falls","USA",39383,42.56,-114.46,0
"39304","Tyler","USA",92155,32.33,-95.3,0
"39565","Union","USA",57198,40.7,-74.27,0
"39566","Union City","USA",65939,40.77,-74.03,0
"39567","Union City","USA",70125,37.6,-122.02,0
"39597","Upland","USA",75365,34.12,-117.66,0
"39610","Urbana","USA",39834,40.11,-88.21,0
"39724","Utica","USA",58151,43.1,-75.23,0
"39802","Vacaville","USA",98110,38.36,-121.97,0
"39913","Valdosta","USA",45909,30.85,-83.28,0
"39982","Vallejo","USA",121146,38.11,-122.26,0
"40047","Vancouver","USA",161034,45.63,-122.64,0
"40468","Vestavia Hills","USA",39397,33.43,-86.79,0
"40545","Victoria","USA",62296,28.82,-96.98,0
"40550","Victorville","USA",87903,34.52,-117.33,0
"40844","Vineland","USA",58511,39.46,-75,0
"40880","Virginia Beach","USA",453884,36.74,-76.04,0
"40901","Visalia","USA",110620,36.33,-119.32,0
"40920","Vista","USA",93266,33.19,-117.24,0
"41246","Waco","USA",119911,31.57,-97.18,0
"41359","Walnut Creek","USA",65334,37.9,-122.04,0
"41361","Walpole","USA",45127,42.14,-71.25,0
"41367","Waltham","USA",58407,42.39,-71.24,0
"41431","Warner Robins","USA",59593,32.61,-83.63,0
"41435","Warren","USA",132537,42.49,-83.03,0
"41436","Warren","USA",44933,41.24,-80.82,0
"41450","Warwick","USA",88443,41.7,-71.42,0
"41457","Washington","USA",548359,38.91,-77.02,1
"41467","Waterbury","USA",108645,41.56,-73.04,0
"41470","Waterford","USA",76204,42.66,-83.39,0
"41475","Waterloo","USA",65260,42.49,-92.35,0
"41484","Watsonville","USA",45659,36.92,-121.77,0
"41494","Waukegan","USA",93664,42.37,-87.87,0
"41495","Waukesha","USA",68725,43.01,-88.24,0
"41496","Wauwatosa","USA",45076,43.06,-88.03,0
"41505","Wayne","USA",58667,40.95,-74.25,0
"41575","Wellington","USA",56712,26.66,-80.25,0
"41617","West Allis","USA",58958,43.01,-88.03,0
"41618","West Babylon","USA",43595,40.71,-73.36,0
"41620","West Bloomfield Township","USA",70520,42.57,-83.38,0
"41623","West Covina","USA",110646,34.05,-117.91,0
"41624","West Des Moines","USA",57126,41.57,-93.75,0
"41626","West Hartford","USA",67156,41.77,-72.75,0
"41627","West Haven","USA",53545,41.27,-72.97,0
"41628","West Jordan","USA",105629,40.6,-111.99,0
"41630","West New York","USA",46091,40.77,-73.98,0
"41631","West Orange","USA",48754,40.79,-74.26,0
"41632","West Palm Beach","USA",95924,26.75,-80.13,0
"41633","West Sacramento","USA",43656,38.56,-121.55,0
"41634","West Seneca","USA",44418,42.84,-78.75,0
"41635","West Valley City","USA",113989,40.69,-112.01,0
"41636","Westborough","USA",41520,42.27,-71.62,0
"41643","Westfield","USA",41068,42.14,-72.76,0
"41647","Westland","USA",84414,42.32,-83.38,0
"41649","Westminster","USA",104708,39.88,-105.05,0
"41650","Westminster","USA",90187,33.75,-117.99,0
"41651","Weston","USA",72902,26.1,-80.4,0
"41673","Weymouth","USA",54444,42.21,-70.95,0
"41679","Wheaton","USA",54365,41.86,-88.11,0
"41680","Wheaton-Glenmont","USA",61095,39.06,-77.05,0
"41688","White Plains","USA",58084,41.02,-73.76,0
"41697","Whittier","USA",86182,33.97,-118.02,0
"41705","Wichita","USA",356051,37.69,-97.34,0
"41706","Wichita Falls","USA",100616,33.9,-98.52,0
"41740","Wilkes-Barre","USA",40242,41.25,-75.88,0
"41749","Wilmington","USA",71065,39.74,-75.53,0
"41750","Wilmington","USA",93097,34.21,-77.91,0
"41753","Wilson","USA",47191,35.73,-77.92,0
"41781","Winston-Salem","USA",194826,36.1,-80.26,0
"41865","Woodbury","USA",52052,44.91,-92.92,0
"41868","Woodland","USA",52266,38.68,-121.77,0
"41873","Woonsocket","USA",46297,42,-71.5,0
"41879","Worcester","USA",177973,42.27,-71.81,0
"41938","Wyoming","USA",70474,42.89,-85.7,0
"42109","Yakima","USA",89815,46.59,-120.53,0
"42442","Yonkers","USA",198045,40.95,-73.87,0
"42446","Yorba Linda","USA",65932,33.89,-117.77,0
"42468","Youngstown","USA",76590,41.1,-80.65,0
"42486","Yuba City","USA",54086,39.14,-121.62,0
"42487","Yucaipa","USA",52333,34.03,-117.04,0
"42503","Yuma","USA",85720,32.68,-114.62,0
